iter	RMSE
0	634.3774732
1	599.9964424
2	567.9877577
3	541.902688
4	514.5229857
5	492.7488866
6	470.27726
7	452.9607911
8	437.4585507
9	424.1576493
10	410.782034
11	398.5827084
12	386.6676801
13	374.2399736
14	364.9729955
15	355.7456674
16	347.0676051
17	340.9154174
18	334.2895851
19	327.3108851
20	322.6486429
21	317.0671757
22	312.7606596
23	308.724185
24	303.6958607
25	298.984125
26	294.926122
27	290.1505234
28	286.2578701
29	283.0965669
30	279.7223152
31	277.4819901
32	274.211448
33	271.9542125
34	270.3325279
35	268.5145311
36	266.5563692
37	264.1040231
38	262.4476433
39	260.4349559
40	258.3030675
41	257.3763606
42	257.1558967
43	255.7645757
44	252.9757936
45	250.8809348
46	249.3781794
47	247.9707475
48	245.2998424
49	242.4206625
50	241.1091704
51	238.8689199
52	237.4316903
53	236.3002916
54	234.9739527
55	234.0672539
56	232.9250365
57	230.9826321
58	230.5130097
59	230.0113095
60	229.114484
61	228.2854447
62	226.8471189
63	224.3078639
64	223.4163788
65	223.0607532
66	222.2562394
67	220.4198919
68	218.9893628
69	218.5937639
70	218.1936681
71	216.0488192
72	214.7370743
73	212.9364665
74	211.1642949
75	210.1908796
76	209.557264
77	209.2516714
78	208.3326264
79	207.920353
80	207.4796036
81	206.5851633
82	205.7952598
83	205.2551391
84	204.6899883
85	204.0356846
86	202.4143353
87	200.6132693
88	200.3534501
89	199.6850424
90	199.3348246
91	197.5348914
92	195.9696588
93	194.9494114
94	193.3072811
95	192.3603899
96	191.9108288
97	190.7086021
98	189.5223567
99	188.0942401
100	186.8186076
101	186.7127949
102	185.5981709
103	184.2952536
104	184.22011
105	184.1498971
106	183.2789527
107	183.1533555
108	182.0007102
109	181.9098103
110	181.8405375
111	180.6789555
112	179.6832369
113	178.932978
114	177.5718284
115	176.7681947
116	176.0791141
117	175.2002926
118	174.0796468
119	173.1819673
120	172.3720442
121	171.5085679
122	170.1454521
123	169.345596
124	168.3343291
125	167.6773666
126	166.611388
127	166.5139315
128	165.2179504
129	164.4006865
130	163.6915092
131	162.8166942
132	162.0957012
133	160.9875471
134	160.3473735
135	159.7252258
136	159.5033228
137	158.6006915
138	157.952793
139	157.1390017
140	156.3815249
141	155.5562755
142	154.957577
143	154.5212608
144	153.8429581
145	153.3963733
146	152.9628356
147	152.3284584
148	151.4667168
149	150.7392677
150	150.2171201
151	149.7219515
152	149.1257743
153	149.0773052
154	148.5317442
155	147.9635574
156	147.9181557
157	147.4517506
158	146.7203228
159	146.2236227
160	146.1610131
161	145.4173497
162	145.3787154
163	144.7048377
164	143.971132
165	143.9431185
166	143.53817
167	142.8640172
168	142.243252
169	141.7747218
170	141.7431933
171	141.4203269
172	140.9562955
173	140.3235524
174	140.0988145
175	139.9831637
176	139.8422031
177	139.4919624
178	139.0168014
179	138.5566955
180	138.3898231
181	137.9041059
182	137.7322671
183	137.2198048
184	137.0637286
185	136.7189202
186	136.0696839
187	135.7428518
188	135.0711176
189	134.5984152
190	133.9798594
191	133.6181542
192	133.0568861
193	132.4637736
194	131.9180243
195	131.4073252
196	131.0784858
197	130.3197636
198	130.0174458
199	129.5636252
200	129.3822201
201	128.9078827
202	128.3947544
203	128.0350853
