iter	RMSE
204	127.766931
205	127.4906568
206	126.9728151
207	126.531163
208	126.2647298
209	125.9271589
210	125.7394889
211	125.4085934
212	125.0029571
213	124.4950494
214	124.1702848
215	123.9137635
216	123.7429218
217	123.5615499
218	123.1595267
219	122.9298547
220	122.7690324
221	122.445368
222	122.2867177
223	122.1691968
224	121.9605169
225	121.7306256
226	121.2130571
227	120.8989566
228	120.3884749
229	120.1795836
230	120.1118654
231	119.7645854
232	119.4506032
233	119.2387359
234	118.8924005
235	118.5247593
236	118.1839758
237	117.8873133
238	117.6100378
239	117.1672104
240	116.9997507
241	116.5191542
242	116.3602185
243	115.8822231
244	115.5576149
245	115.4342669
246	115.1806328
247	115.0544858
248	114.676741
249	114.4173209
250	114.204001
251	114.1003742
252	114.0219284
253	113.8542
254	113.6681981
255	113.273761
256	113.0607199
257	112.8714158
258	112.5905984
259	112.3460014
260	112.0646106
261	111.9389464
262	111.5874191
263	111.399874
264	111.3477442
265	111.2499625
266	111.1164688
267	111.0951324
268	110.8557833
269	110.5739955
270	110.531257
271	110.490946
272	110.1603868
273	109.995633
274	109.7329541
275	109.3502657
276	109.0510626
277	108.8246844
278	108.7771778
279	108.6297365
280	108.4050013
281	108.2692068
282	108.0466977
283	107.6308336
284	107.5437047
285	107.1893987
286	107.023489
287	106.9572908
288	106.5730819
289	106.5546762
290	106.2905927
291	106.2123746
292	106.1673065
293	105.8900751
294	105.392657
295	105.2426607
296	105.1245632
297	105.0403778
298	104.7954013
299	104.7035251
300	104.4885355
301	104.2893901
302	104.0235584
303	103.8118271
304	103.6959391
305	103.4586764
306	103.2983566
307	103.0133202
308	102.7385758
309	102.5430479
310	102.3649888
311	102.1867369
312	102.1698665
313	102.1484291
314	102.1279857
315	101.8853197
316	101.6143104
317	101.4330677
318	101.275195
319	101.0958733
320	100.7016984
321	100.5197191
322	100.317279
323	100.1702712
324	99.95088664
325	99.9271506
326	99.80340391
327	99.625917
328	99.33500087
329	99.00716715
330	98.80101042
331	98.77198319
332	98.60740617
333	98.43056658
334	98.41772963
335	98.38827165
336	98.13360184
337	97.96073617
338	97.69613557
339	97.65292275
340	97.60997439
341	97.47135999
342	97.21616414
343	96.88864813
344	96.87770135
345	96.67029195
346	96.41169107
347	96.17744123
348	96.16527418
349	96.15148575
350	96.1347425
351	96.12764831
352	96.01502113
353	95.78564203
354	95.77805748
355	95.5409837
356	95.42258127
357	95.29265495
358	95.16391409
359	95.005834
360	94.90267733
361	94.64467883
362	94.57905053
363	94.3302455
364	94.27591076
365	93.9544125
366	93.94841728
367	93.89166936
368	93.73214157
369	93.49635763
370	93.30972443
371	93.09390668
372	92.81018185
373	92.66509253
374	92.52488338
375	92.27256937
376	92.2607994
377	92.15275696
378	92.06505085
379	91.84868196
380	91.72928798
381	91.5977532
382	91.41882887
383	91.40910986
384	91.40144974
385	91.24428581
386	91.08270931
387	91.03674875
388	90.79452253
389	90.67256949
390	90.35655539
391	90.32659201
392	90.11076939
393	89.91921148
394	89.87644574
395	89.6950396
396	89.6452682
397	89.4785506
398	89.43893153
399	89.43017486
400	89.15521907
401	88.9081807
402	88.68650292
403	88.45920295
404	88.35046083
405	88.25334141
406	88.21373335
407	88.16813763
408	88.12697981
409	87.93524647
410	87.85004081
411	87.78780733
412	87.68096076
413	87.62262009
414	87.57002045
415	87.56602464
416	87.43217216
417	87.26283154
418	87.13642684
419	86.98754349
420	86.902773
421	86.89605595
422	86.79045358
423	86.78595956
424	86.60806117
425	86.57140442
426	86.36967919
427	86.23308446
428	86.10718282
429	85.9860093
430	85.98221248
431	85.86667262
432	85.69856181
433	85.51855858
434	85.47149287
435	85.37421311
436	85.08183065
437	84.905029
438	84.74361081
439	84.53083536
440	84.40342558
441	84.21631461
442	84.09148816
443	84.08825256
444	84.01446394
445	83.89274316
446	83.73405164
447	83.55442116
448	83.49923117
449	83.35228692
450	83.21395142
451	83.10103499
452	83.07434426
453	82.89427155
454	82.88691676
455	82.84472399
456	82.56809702
457	82.43584154
458	82.36607194
459	82.3252459
460	82.24787539
461	82.1211727
462	81.97547941
463	81.87326997
464	81.75920486
465	81.65099963
466	81.55885544
467	81.41851188
468	81.27589715
469	81.14933907
470	80.99748083
471	80.86041075
472	80.73535219
473	80.64048411
474	80.52673236
475	80.41237884
476	80.3314445
477	80.01683718
478	79.89886939
479	79.87119672
480	79.73767509
481	79.70774654
482	79.57006972
483	79.47055332
484	79.29057716
485	79.17733655
486	79.1418337
487	78.9484105
488	78.82270023
489	78.77154126
490	78.63864279
491	78.48535214
492	78.433942
493	78.28045686
494	78.2392312
495	78.09275401
496	77.92365347
497	77.85333775
498	77.68534642
499	77.58515024
